_id,status,deviceType,gpuModel,alternative,name,error,initTime,cpu.max,cpu.min,cpu.avg,fps.max,fps.min,fps.avg,heap.max,heap.min,heap.avg,vertexTotal,trianglesTotal
624d803701d1d6264d1db312,success,desktop,nvidia geforce gtx 1050 ti opengl engine,wasm-opengl,Multiple Objects Rendering,null,751,22,1,17,60,45,56,35.84208488,11.3080616,21.83944822,118764,39588
624d808201d1d6264d1db313,success,desktop,nvidia geforce gtx 1050 ti opengl engine,wasm-opengl,Large Object Rendering,null,3008,0,0,0,60,60,60,67.15084362,66.43642616,66.79265454,240048,80016
624d80c8c46c67540b56e042,success,desktop,nvidia geforce gtx 1050 ti opengl engine,webgl,Multiple Objects Rendering,null,196,25,3,20,60,42,53,44.20606518,11.15430164,27.53768173,113292,37764
624d8b4901d1d6264d1db314,success,desktop,"nvidia corporation, nvidia geforce gtx 1050 ti/pcie/sse2, opengl 4.5.0 nvidia 470.103.01) (ANGLE (NVIDIA Corporation, NVIDIA GeForce GTX 1050 Ti/PCIe/SSE2, OpenGL 4.5.0 NVIDIA 470.103.01))",webgl,Large Object Rendering,null,2417,1,0,0,60,53,57,116.13826752,48.94678974,101.39627868,240048,80016
624d8b6fc46c67540b56e043,error,desktop,nvidia geforce gtx 1050 ti opengl engine,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
624d8b76c46c67540b56e044,error,desktop,nvidia geforce gtx 1050 ti opengl engine,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
624d8f29c46c67540b56e045,success,desktop,nvidia geforce rtx 2070 super,webgpu,Multiple Objects Rendering,null,816,24,4,22,234,35,72,26.16255569,6.18630791,15.83364073,154692,51564
624d909301d1d6264d1db315,success,desktop,nvidia geforce rtx 2070 super,webgpu,Large Object Rendering,null,2172,1,0,1,240,1,226,100.08342648,88.94541073,95.48554893,240048,80016
624d90e301d1d6264d1db316,success,desktop,nvidia geforce rtx 2070 super,webgl,Multiple Objects Rendering,null,395,25,6,24,240,35,68,26.83116055,5.878829,15.45917957,145476,48492
624d921901d1d6264d1db317,success,desktop,nvidia geforce rtx 2070 super,webgl,Large Object Rendering,null,2011,1,0,1,240,239,240,94.29512119,90.00301361,92.33646262,240048,80016
624d9268c46c67540b56e046,success,desktop,nvidia geforce rtx 2070 super,wasm-opengl,Multiple Objects Rendering,null,197,26,4,23,240,48,90,24.33755302,7.54852867,15.40361162,192204,64068
624d929ac46c67540b56e047,success,desktop,nvidia geforce rtx 2070 super,wasm-opengl,Large Object Rendering,null,746,1,0,1,240,234,240,82.06996155,56.49574184,71.13894237,240048,80016
624d949bc46c67540b56e048,success,desktop,adreno 630,wasm-opengl,Multiple Objects Rendering,null,813,26,4,22,60,24,44,9.53674316,9.53674316,9.53674316,94752,31584
624d94c401d1d6264d1db318,success,desktop,adreno 630,wasm-opengl,Large Object Rendering,null,5300,1,1,1,60,46,56,9.53674316,9.53674316,9.53674316,240048,80016
624d9514c46c67540b56e049,success,desktop,adreno 630,webgl,Multiple Objects Rendering,null,123,26,6,23,60,15,30,9.53674316,9.53674316,9.53674316,64116,21372
624d953901d1d6264d1db319,success,desktop,adreno 630,webgl,Large Object Rendering,null,2194,1,1,1,60,48,55,9.53674316,9.53674316,9.53674316,240048,80016
624d954f01d1d6264d1db31a,error,desktop,adreno 630,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
624d955201d1d6264d1db31b,error,desktop,adreno 630,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
